lead_train,lead_delay,target_train,target_delay,delta_time,station_code,target_delayed
20501,23,12520,27,4.0,ABSA,True
20501,23,14619,57,34.0,ABSA,True
20501,23,12504,72,49.0,ABSA,True
12520,27,14619,57,30.0,ABSA,True
12520,27,12504,72,45.0,ABSA,True
14619,57,12504,72,15.0,ABSA,True
02502,3,20501,11,8.0,AGTL,True
02502,3,12520,14,11.0,AGTL,True
02502,3,14619,41,38.0,AGTL,True
02502,3,12504,60,57.0,AGTL,True
20501,11,12520,14,3.0,AGTL,True
20501,11,14619,41,30.0,AGTL,True
20501,11,12504,60,49.0,AGTL,True
12520,14,14619,41,27.0,AGTL,True
12520,14,12504,60,46.0,AGTL,True
14619,41,12504,60,19.0,AGTL,True
12508,310,12516,335,25.0,AJJ,True
02501,14,02517,25,11.0,AZ,True
12509,115,12515,92,37.0,BALU,True
12510,200,12507,169,29.0,BALU,True
12508,241,12516,258,17.0,BALU,True
22501,106,12503,259,33.0,BAM,True
12509,104,12515,82,38.0,BAM,True
12507,144,22502,131,47.0,BAM,True
12508,243,12516,263,20.0,BAM,True
15945,25,15647,52,27.0,BAU,True
22501,129,12503,289,40.0,BBS,True
12509,130,12515,105,35.0,BBS,True
22502,114,12510,178,4.0,BBS,True
12516,216,12508,220,4.0,BBS,True
12516,216,12507,176,20.0,BBS,True
12508,220,12507,176,16.0,BBS,True
02501,11,02517,26,15.0,BDC,True
12520,117,12519,130,13.0,BGS,True
15945,69,15946,66,57.0,BGS,True
12503,277,12504,189,32.0,BHC,True
12509,126,12515,108,42.0,BHC,True
12515,108,12510,150,42.0,BHC,True
12516,181,12508,192,11.0,BHC,True
22501,210,12516,114,24.0,BHP,True
22501,210,12508,129,39.0,BHP,True
12516,114,12508,129,15.0,BHP,True
12509,189,12515,165,36.0,BHP,True
12424,25,22449,34,9.0,BJU,True
14038,249,14037,46,37.0,BJU,True
14619,92,20501,70,38.0,BJU,True
20501,70,12423,60,50.0,BJU,True
14620,235,12519,129,14.0,BJU,True
15647,135,15648,80,5.0,BKP,True
12509,139,12515,119,40.0,BLS,True
12515,119,22502,90,31.0,BLS,True
12516,158,12508,177,19.0,BLS,True
15648,30,12510,74,44.0,BNGN,True
12516,64,15630,231,47.0,BNGN,True
12520,138,12508,219,21.0,BNGN,True
05639,151,15946,58,27.0,BOE,True
15909,68,15629,211,23.0,BOE,True
05639,6,12516,20,14.0,BPB,True
05639,6,14037,22,16.0,BPB,True
05639,6,12508,33,27.0,BPB,True
12516,20,14037,22,2.0,BPB,True
12516,20,12508,33,13.0,BPB,True
14037,22,12508,33,11.0,BPB,True
02502,29,12520,41,12.0,BPB,True
02502,29,20501,23,54.0,BPB,True
12520,41,20501,23,42.0,BPB,True
12504,86,14619,56,30.0,BPB,True
14620,305,05640,239,54.0,BPB,True
12510,83,15648,122,39.0,BPRD,True
12516,100,12508,132,32.0,BPRD,True
12509,295,15945,115,60.0,BPRD,True
15945,24,15647,48,24.0,BSL,True
12509,28,22501,35,7.0,BWT,True
12503,247,12509,47,40.0,BZA,True
12503,247,22501,51,44.0,BZA,True
12509,47,22501,51,4.0,BZA,True
15630,170,12508,291,1.0,BZA,True
15630,170,12516,308,18.0,BZA,True
12508,291,12516,308,17.0,BZA,True
12509,110,12515,92,42.0,CHE,True
12507,145,12504,267,2.0,CHE,True
12508,232,12516,255,23.0,CHE,True
22450,82,14038,97,15.0,CNB,True
14620,123,14037,109,46.0,CNB,True
12424,102,15960,36,54.0,CPK,True
22501,122,12503,299,57.0,CTC,True
12509,131,12504,224,33.0,CTC,True
12509,131,12515,113,42.0,CTC,True
12504,224,12515,113,9.0,CTC,True
22502,114,12510,175,1.0,CTC,True
12516,207,12508,213,6.0,CTC,True
15946,2,20503,5,3.0,DBRG,False
15946,2,12423,8,6.0,DBRG,False
15946,2,15909,8,6.0,DBRG,False
15946,2,15960,9,7.0,DBRG,False
20503,5,12423,8,3.0,DBRG,False
20503,5,15909,8,3.0,DBRG,False
20503,5,15960,9,4.0,DBRG,False
12423,8,15960,9,1.0,DBRG,False
15909,8,15960,9,1.0,DBRG,False
22450,109,14038,137,28.0,DDU,True
12519,79,15945,79,60.0,DDU,True
15945,79,14620,171,32.0,DDU,True
14620,171,14619,92,41.0,DDU,True
14620,171,20501,50,59.0,DDU,True
14619,92,20501,50,18.0,DDU,True
14619,92,15647,122,30.0,DDU,True
20501,50,15647,122,12.0,DDU,True
12510,118,22501,169,51.0,DKAE,True
22502,88,12503,331,3.0,DKAE,True
12516,146,12508,168,22.0,DKAE,True
12508,168,12509,155,47.0,DKAE,True
12509,155,12515,145,50.0,DKAE,True
20501,18,12520,28,10.0,DMR,True
20501,18,14619,52,34.0,DMR,True
20501,18,12504,76,58.0,DMR,True
12520,28,14619,52,24.0,DMR,True
12520,28,12504,76,48.0,DMR,True
14619,52,12504,76,24.0,DMR,True
20503,20,12423,26,6.0,DMV,True
20503,20,15946,11,51.0,DMV,True
12423,26,15946,11,45.0,DMV,True
15909,24,22502,43,19.0,DMV,True
15909,30,22502,45,15.0,DPU,True
15648,95,12510,93,58.0,DQG,True
15630,137,12516,102,25.0,DQG,True
15630,137,12508,137,60.0,DQG,True
12516,102,12508,137,35.0,DQG,True
12508,137,05639,121,44.0,DQG,True
12515,191,15960,70,59.0,DQG,True
15960,70,12509,240,50.0,DQG,True
15647,111,12507,348,57.0,DQG,True
12508,309,12516,356,47.0,ED,True
15945,27,12519,42,15.0,ET,True
15945,27,15647,51,24.0,ET,True
12519,42,15647,51,9.0,ET,True
13182,39,13181,68,29.0,FKM,True
22449,5,02518,13,8.0,GHY,True
22449,5,12346,15,10.0,GHY,True
22449,5,12510,26,21.0,GHY,True
22449,5,15648,47,42.0,GHY,True
02518,13,12346,15,2.0,GHY,True
02518,13,12510,26,13.0,GHY,True
02518,13,15648,47,34.0,GHY,True
12346,15,12510,26,11.0,GHY,True
12346,15,15648,47,32.0,GHY,True
12510,26,15648,47,21.0,GHY,True
13182,17,20503,11,54.0,GHY,True
20503,11,15630,78,7.0,GHY,True
20503,11,20501,25,14.0,GHY,True
20503,11,02502,36,25.0,GHY,True
20503,11,12516,55,44.0,GHY,True
15630,78,20501,25,7.0,GHY,True
15630,78,02502,36,18.0,GHY,True
15630,78,12516,55,37.0,GHY,True
15630,78,12508,78,60.0,GHY,True
20501,25,02502,36,11.0,GHY,True
20501,25,12516,55,30.0,GHY,True
20501,25,12508,78,53.0,GHY,True
02502,36,12516,55,19.0,GHY,True
02502,36,12508,78,42.0,GHY,True
02502,36,12504,87,51.0,GHY,True
02502,36,12423,34,58.0,GHY,True
12516,55,12508,78,23.0,GHY,True
12516,55,12504,87,32.0,GHY,True
12516,55,12423,34,39.0,GHY,True
12508,78,12504,87,9.0,GHY,True
12508,78,12423,34,16.0,GHY,True
12504,87,12423,34,7.0,GHY,True
05639,62,12520,85,23.0,GHY,True
12520,85,22502,22,57.0,GHY,True
