train_id,station_code,station_order,prev_delay,delay_arrival,target_delay,station_code_enc,train_id_enc,simulated_arrival_time
02501,KOAA,1,0.0,7,11.0,144,0,2024-01-01 00:07:00
02501,BDC,2,7.0,11,22.0,23,0,2024-01-01 01:11:00
02501,NDAE,3,11.0,22,19.0,185,0,2024-01-01 02:22:00
02501,KWAE,4,22.0,19,14.0,151,0,2024-01-01 03:19:00
02501,AZ,5,19.0,14,19.0,15,0,2024-01-01 04:14:00
02501,JRLE,6,14.0,19,73.0,127,0,2024-01-01 05:19:00
02501,MLDT,7,19.0,73,131.0,169,0,2024-01-01 07:13:00
02501,KNE,8,73.0,131,129.0,141,0,2024-01-01 09:11:00
02501,NJP,9,131.0,129,167.0,195,0,2024-01-01 10:09:00
02501,NCB,10,129.0,167,156.0,184,0,2024-01-01 11:47:00
02501,NOQ,11,167.0,156,175.0,203,0,2024-01-01 12:36:00
02501,KOJ,12,156.0,175,166.0,145,0,2024-01-01 13:55:00
02501,NBQ,13,175.0,166,169.0,183,0,2024-01-01 14:46:00
02501,GLPT,14,166.0,169,230.0,102,0,2024-01-01 15:49:00
02501,GHY,15,169.0,230,262.0,100,0,2024-01-01 17:50:00
02501,MYD,16,230.0,262,262.0,178,0,2024-01-01 19:22:00
02501,NHLG,17,262.0,262,237.0,193,0,2024-01-01 20:22:00
02501,BPB,18,262.0,237,247.0,41,0,2024-01-01 20:57:00
02501,NKMG,19,237.0,247,240.0,197,0,2024-01-01 22:07:00
02501,DMR,20,247.0,240,227.0,79,0,2024-01-01 23:00:00
02502,AGTL,1,0.0,3,16.0,5,1,2024-01-01 00:03:00
02502,DMR,2,3.0,16,18.0,79,1,2024-01-01 01:16:00
02502,NKMG,3,16.0,18,29.0,197,1,2024-01-01 02:18:00
02502,BPB,4,18.0,29,22.0,41,1,2024-01-01 03:29:00
02502,NHLG,5,29.0,22,18.0,193,1,2024-01-01 04:22:00
02502,MYD,6,22.0,18,36.0,178,1,2024-01-01 05:18:00
02502,GHY,7,18.0,36,88.0,100,1,2024-01-01 06:36:00
02502,GLPT,8,36.0,88,74.0,102,1,2024-01-01 08:28:00
02502,NBQ,9,88.0,74,85.0,183,1,2024-01-01 09:14:00
02502,KOJ,10,74.0,85,98.0,145,1,2024-01-01 10:25:00
02502,NOQ,11,85.0,98,127.0,203,1,2024-01-01 11:38:00
02502,NCB,12,98.0,127,98.0,184,1,2024-01-01 13:07:00
02502,NJP,13,127.0,98,118.0,195,1,2024-01-01 13:38:00
02502,KNE,14,98.0,118,132.0,141,1,2024-01-01 14:58:00
02502,MLDT,15,118.0,132,156.0,169,1,2024-01-01 16:12:00
02502,JRLE,16,132.0,156,155.0,127,1,2024-01-01 17:36:00
02502,AZ,17,156.0,155,157.0,15,1,2024-01-01 18:35:00
02502,KWAE,18,155.0,157,162.0,151,1,2024-01-01 19:37:00
02502,NDAE,19,157.0,162,166.0,185,1,2024-01-01 20:42:00
02502,BDC,20,162.0,166,165.0,23,1,2024-01-01 21:46:00
02517,KOAA,1,0.0,19,26.0,144,2,2024-01-01 00:19:00
02517,BDC,2,19.0,26,34.0,23,2,2024-01-01 01:26:00
02517,NDAE,3,26.0,34,33.0,185,2,2024-01-01 02:34:00
02517,KWAE,4,34.0,33,25.0,151,2,2024-01-01 03:33:00
02517,AZ,5,33.0,25,34.0,15,2,2024-01-01 04:25:00
02517,JRLE,6,25.0,34,75.0,127,2,2024-01-01 05:34:00
02517,MLDT,7,34.0,75,140.0,169,2,2024-01-01 07:15:00
02517,KNE,8,75.0,140,135.0,141,2,2024-01-01 09:20:00
02517,NJP,9,140.0,135,177.0,195,2,2024-01-01 10:15:00
02517,NCB,10,135.0,177,169.0,184,2,2024-01-01 11:57:00
02517,NOQ,11,177.0,169,191.0,203,2,2024-01-01 12:49:00
02517,KOJ,12,169.0,191,180.0,145,2,2024-01-01 14:11:00
02517,NBQ,13,191.0,180,194.0,183,2,2024-01-01 15:00:00
02517,GLPT,14,180.0,194,186.0,102,2,2024-01-01 16:14:00
02518,GHY,1,0.0,13,57.0,100,3,2024-01-01 00:13:00
02518,GLPT,2,13.0,57,42.0,102,3,2024-01-01 01:57:00
02518,NBQ,3,57.0,42,50.0,183,3,2024-01-01 02:42:00
02518,KOJ,4,42.0,50,65.0,145,3,2024-01-01 03:50:00
02518,NOQ,5,50.0,65,95.0,203,3,2024-01-01 05:05:00
02518,NCB,6,65.0,95,66.0,184,3,2024-01-01 06:35:00
02518,NJP,7,95.0,66,94.0,195,3,2024-01-01 07:06:00
02518,KNE,8,66.0,94,124.0,141,3,2024-01-01 08:34:00
02518,MLDT,9,94.0,124,146.0,169,3,2024-01-01 10:04:00
02518,JRLE,10,124.0,146,148.0,127,3,2024-01-01 11:26:00
02518,AZ,11,146.0,148,150.0,15,3,2024-01-01 12:28:00
02518,KWAE,12,148.0,150,158.0,151,3,2024-01-01 13:30:00
02518,NDAE,13,150.0,158,160.0,185,3,2024-01-01 14:38:00
02518,BDC,14,158.0,160,156.0,23,3,2024-01-01 15:40:00
05639,SCL,1,0.0,1,6.0,235,4,2024-01-01 00:01:00
05639,BPB,2,1.0,6,14.0,41,4,2024-01-01 01:06:00
05639,NHGJ,3,6.0,14,18.0,191,4,2024-01-01 02:14:00
05639,NHLG,4,14.0,18,27.0,193,4,2024-01-01 03:18:00
05639,MBG,5,18.0,27,13.0,164,4,2024-01-01 04:27:00
05639,LMG,6,27.0,13,16.0,160,4,2024-01-01 05:13:00
05639,LKA,7,13.0,16,18.0,156,4,2024-01-01 06:16:00
05639,HJI,8,16.0,18,62.0,108,4,2024-01-01 07:18:00
05639,GHY,9,18.0,62,78.0,100,4,2024-01-01 09:02:00
05639,KYQ,10,62.0,78,102.0,154,4,2024-01-01 10:18:00
05639,GLPT,11,78.0,102,83.0,102,4,2024-01-01 11:42:00
05639,NBQ,12,102.0,83,90.0,183,4,2024-01-01 12:23:00
05639,KOJ,13,83.0,90,105.0,145,4,2024-01-01 13:30:00
05639,GOGH,14,90.0,105,109.0,103,4,2024-01-01 14:45:00
05639,NOQ,15,105.0,109,130.0,203,4,2024-01-01 15:49:00
05639,NCB,16,109.0,130,121.0,184,4,2024-01-01 17:10:00
05639,DQG,17,130.0,121,112.0,83,4,2024-01-01 18:01:00
05639,NJP,18,121.0,112,126.0,195,4,2024-01-01 18:52:00
05639,AUB,19,112.0,126,136.0,13,4,2024-01-01 20:06:00
05639,KNE,20,126.0,136,151.0,141,4,2024-01-01 21:16:00
05639,BOE,21,136.0,151,159.0,39,4,2024-01-01 22:31:00
05639,KDPR,22,151.0,159,150.0,131,4,2024-01-01 23:39:00
05639,MLDT,23,159.0,150,168.0,169,4,2024-01-02 00:30:00
05639,JRLE,24,150.0,168,164.0,127,4,2024-01-02 01:48:00
05639,AZ,25,168.0,164,158.0,15,4,2024-01-02 02:44:00
05639,KWAE,26,164.0,158,148.0,151,4,2024-01-02 03:38:00
05639,BDC,27,158.0,148,147.0,23,4,2024-01-02 04:28:00
05639,NH,28,148.0,147,134.0,190,4,2024-01-02 05:27:00
05640,KOAA,1,0.0,161,153.0,144,5,2024-01-01 02:41:00
05640,NH,2,161.0,153,165.0,190,5,2024-01-01 03:33:00
05640,BDC,3,153.0,165,159.0,23,5,2024-01-01 04:45:00
05640,KWAE,4,165.0,159,137.0,151,5,2024-01-01 05:39:00
05640,AZ,5,159.0,137,126.0,15,5,2024-01-01 06:17:00
05640,JRLE,6,137.0,126,149.0,127,5,2024-01-01 07:06:00
05640,MLDT,7,126.0,149,167.0,169,5,2024-01-01 08:29:00
05640,KDPR,8,149.0,167,165.0,131,5,2024-01-01 09:47:00
05640,BOE,9,167.0,165,190.0,39,5,2024-01-01 10:45:00
05640,KNE,10,165.0,190,194.0,141,5,2024-01-01 12:10:00
05640,AUB,11,190.0,194,176.0,13,5,2024-01-01 13:14:00
05640,NJP,12,194.0,176,172.0,195,5,2024-01-01 13:56:00
05640,DQG,13,176.0,172,194.0,83,5,2024-01-01 14:52:00
05640,NCB,14,172.0,194,193.0,184,5,2024-01-01 16:14:00
05640,NOQ,15,194.0,193,210.0,203,5,2024-01-01 17:13:00
05640,GOGH,16,193.0,210,226.0,103,5,2024-01-01 18:30:00
05640,KOJ,17,210.0,226,238.0,145,5,2024-01-01 19:46:00
05640,NBQ,18,226.0,238,237.0,183,5,2024-01-01 20:58:00
05640,GLPT,19,238.0,237,237.0,102,5,2024-01-01 21:57:00
05640,KYQ,20,237.0,237,258.0,154,5,2024-01-01 22:57:00
05640,GHY,21,237.0,258,278.0,100,5,2024-01-02 00:18:00
05640,HJI,22,258.0,278,281.0,108,5,2024-01-02 01:38:00
05640,LKA,23,278.0,281,281.0,156,5,2024-01-02 02:41:00
05640,LMG,24,281.0,281,249.0,160,5,2024-01-02 03:41:00
05640,MBG,25,281.0,249,258.0,164,5,2024-01-02 04:09:00
05640,NHLG,26,249.0,258,264.0,193,5,2024-01-02 05:18:00
05640,NHGJ,27,258.0,264,239.0,191,5,2024-01-02 06:24:00
05640,BPB,28,264.0,239,224.0,41,5,2024-01-02 06:59:00
12346,GHY,1,0.0,15,16.0,100,6,2024-01-01 00:15:00
12346,KYQ,2,15.0,16,32.0,154,6,2024-01-01 01:16:00
12346,NBQ,3,16.0,32,39.0,183,6,2024-01-01 02:32:00
12346,NOQ,4,32.0,39,55.0,203,6,2024-01-01 03:39:00
12346,NCB,5,39.0,55,55.0,184,6,2024-01-01 04:55:00
12346,FLK,6,55.0,55,53.0,95,6,2024-01-01 05:55:00
12346,DQG,7,55.0,53,40.0,83,6,2024-01-01 06:53:00
12346,NJP,8,53.0,40,53.0,195,6,2024-01-01 07:40:00
12346,KNE,9,40.0,53,46.0,141,6,2024-01-01 08:53:00
12346,MLDT,10,53.0,46,43.0,169,6,2024-01-01 09:46:00
12346,NFK,11,46.0,43,59.0,187,6,2024-01-01 10:43:00
12346,RPH,12,43.0,59,71.0,230,6,2024-01-01 11:59:00
12346,BHP,13,59.0,71,58.0,29,6,2024-01-01 13:11:00
12346,BWN,14,71.0,58,49.0,53,6,2024-01-01 13:58:00
12423,DBRG,1,0.0,8,3.0,67,7,2024-01-01 00:08:00
12423,DBRT,2,8.0,3,9.0,68,7,2024-01-01 01:03:00
12423,NTSK,3,3.0,9,21.0,205,7,2024-01-01 02:09:00
12423,MXN,4,9.0,21,26.0,177,7,2024-01-01 03:21:00
12423,DMV,5,21.0,26,35.0,80,7,2024-01-01 04:26:00
12423,LMG,6,26.0,35,42.0,160,7,2024-01-01 05:35:00
12423,CPK,7,35.0,42,34.0,64,7,2024-01-01 06:42:00
12423,GHY,8,42.0,34,27.0,100,7,2024-01-01 07:34:00
12423,BNGN,9,34.0,27,44.0,37,7,2024-01-01 08:27:00
12423,NBQ,10,27.0,44,50.0,183,7,2024-01-01 09:44:00
12423,KOJ,11,44.0,50,67.0,145,7,2024-01-01 10:50:00
12423,NCB,12,50.0,67,48.0,184,7,2024-01-01 12:07:00
12423,NJP,13,67.0,48,57.0,195,7,2024-01-01 12:48:00
12423,KNE,14,48.0,57,50.0,141,7,2024-01-01 13:57:00
